SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
BRC45W5,SPIR,Spire Global Inc.,372090.25,"$1,957,194.72 ",0.000142362,Research & Consulting Services,US,---
BQ5BPM6,LTRPA,Liberty TripAdvisor Holdings Inc. Class A,3456321,"$1,952,821.37 ",0.000142043,Interactive Media & Services,US,---
BMTV7C8,PTRS,Partners Bancorp,255395,"$1,941,002 ",0.000141184,Regional Banks,US,---
BMBSDL8,PLBY,PLBY Group Inc.,1487321,"$1,933,517.30 ",0.000140639,"Apparel, Accessories & Luxury Goods",US,---
BYWSY52,INSG,Inseego Corp.,3041116,"$1,932,629.22 ",0.000140575,Communications Equipment,US,---
2893974,TACT,TransAct Technologies Inc.,269345,"$1,925,816.75 ",0.000140079,"Technology Hardware, Storage & Periphera",US,---
BMTX3D7,PEPG,PepGen Inc.,304943,"$1,921,140.90 ",0.000139739,Biotechnology,US,---
2480365,PNRG,PrimeEnergy Resources Corp.,19756,"$1,916,332 ",0.000139389,Oil & Gas Exploration & Production,US,---
BKP4Q64,FINW,Finwise Bancorp,200082,"$1,906,781.46 ",0.000138695,Regional Banks,US,---
BJ0LV13,IMUX,Immunic Inc.,1139791,"$1,903,450.97 ",0.000138452,Biotechnology,US,---
2150873,BYFC,Broadway Financial Corp./DE,2114129,"$1,902,927.51 ",0.000138414,Regional Banks,US,---
B91MNB9,RSSS,Research Solutions Inc./CA,846894,"$1,897,042.56 ",0.000137986,IT Consulting & Other Services,US,---
BFXSF77,LAZY,Lazydays Holdings Inc.,160204,"$1,887,203.12 ",0.000137271,Automotive Retail,US,---
BYYMYP2,LFVN,Lifevantage Corp.,253547,"$1,876,247.80 ",0.000136474,Personal Care Products,US,---
B7GMCG8,FGBI,First Guaranty Bancshares Inc.,167977,"$1,864,544.70 ",0.000135622,Regional Banks,US,---
2647160,FCAP,First Capital Inc.,56504,"$1,858,981.60 ",0.000135218,Regional Banks,US,---
2545305,LWAY,Lifeway Foods Inc.,172782,"$1,857,406.50 ",0.000135103,Packaged Foods & Meats,US,---
BJRFDF6,PAYS,Paysign Inc.,825440,"$1,857,240 ",0.000135091,Transaction & Payment Processing Service,US,---
BNNDTZ4,VCSA,Vacasa Inc. Class A,3077400,"$1,852,594.80 ",0.000134753,"Hotels, Resorts & Cruise Lines",US,---
BZ6CCH5,LDI,loanDepot Inc. Class A,957261,"$1,847,513.73 ",0.000134384,Commercial & Residential Mortgage Financ,US,---
2842006,SCX,LS Starrett Co. Class A,166241,"$1,843,612.69 ",0.0001341,Industrial Machinery & Supplies & Components,US,---
BNNL550,LEE,Lee Enterprises Inc.,154206,"$1,842,761.70 ",0.000134038,Publishing,US,---
B1DZ912,GORO,Gold Resource Corp.,3809091,"$1,830,649.13 ",0.000133157,Gold,US,---
BZ57GY6,SURF,Surface Oncology Inc.,1709153,"$1,828,793.71 ",0.000133022,Biotechnology,US,---
BR841G5,WGS,GeneDx Holdings Corp. Class A,410782,"$1,827,979.90 ",0.000132963,Health Care Services,US,---
BKS3LH4,DMTK,DermTech Inc.,792000,"$1,821,600 ",0.000132499,Biotechnology,US,---
2603247,DLA,Delta Apparel Inc.,238958,"$1,820,859.96 ",0.000132445,"Apparel, Accessories & Luxury Goods",US,---
BZB13V8,SCWX,SecureWorks Corp. Class A,263152,"$1,815,748.80 ",0.000132073,Systems Software,US,---
BN94P42,CLST,Catalyst Bancorp Inc.,151200,"$1,814,400 ",0.000131975,Regional Banks,US,---
BL5FDV8,RDW,Redwire Corp.,562616,"$1,811,623.52 ",0.000131773,Aerospace & Defense,US,---
BYP80F1,CRVS,Corvus Pharmaceuticals Inc.,853716,"$1,809,877.92 ",0.000131646,Biotechnology,US,---
BNKSW31,BYRN,Byrna Technologies Inc.,521296,"$1,798,471.20 ",0.000130816,Aerospace & Defense,US,---
