Date,Open,High,Low,Close,Adj Close,Volume
2005-05-09,117.209999,118.080002,117.050003,117.82,82.554535,43750500
2005-06-08,120.43,120.589996,119.669998,119.910004,84.018959,46881200
2005-07-08,119.970001,121.32,119.720001,121.32,85.349998,64491200
2005-08-08,123.150002,123.410004,122.379997,122.650002,86.285675,47616000
2005-09-08,123.660004,124.0,123.309998,123.5,86.883652,39068700
2005-10-10,119.68,119.709999,118.300003,118.599998,83.791626,52677000
2005-11-08,121.93,122.419998,121.790001,122.230003,86.356201,42152800
2005-12-08,126.220001,126.82,125.480003,126.0,89.019745,62608600
2006-01-09,128.419998,129.059998,128.380005,128.770004,91.459091,43527400
2006-02-08,125.849998,128.100006,125.599998,126.620003,89.932022,59422200
2006-03-08,127.699997,128.440002,127.18,128.240005,91.082634,66692400
2006-04-10,129.740005,130.080002,129.259995,129.740005,92.514458,41496500
2006-05-08,132.509995,132.770004,132.360001,132.360001,94.382713,30016700
2006-06-08,125.580002,126.5,123.870003,125.75,89.669258,204957200
2006-07-10,126.940002,127.43,126.410004,126.849998,90.853455,60964100
2006-08-08,128.089996,128.460007,126.949997,127.410004,91.254532,90901300
2006-09-08,130.080002,130.460007,129.830002,130.279999,93.310112,45096300
2006-10-09,134.850006,135.300003,134.639999,135.089996,97.180695,41176800
2006-11-08,138.0,139.050003,136.860001,138.910004,99.928719,87517800
2006-12-08,141.130005,141.899994,140.779999,141.419998,101.734314,79625500
2007-01-08,140.820007,141.410004,140.25,141.190002,102.134811,71655000
2007-02-08,144.779999,145.119995,144.270004,145.020004,104.905388,70641000
2007-03-08,140.539993,141.160004,140.070007,140.740005,101.80928,117891600
2007-04-09,144.649994,144.800003,144.149994,144.440002,104.900208,50967400
2007-05-08,150.580002,150.919998,150.130005,150.75,109.482872,80584000
2007-06-08,149.580002,151.190002,149.089996,151.039993,109.693504,175886000
2007-07-09,153.160004,153.360001,152.619995,153.100006,111.668839,72348100
2007-08-08,148.410004,150.589996,147.339996,149.830002,109.283737,274930600
2007-09-10,146.520004,146.720001,144.330002,145.789993,106.337044,192305900
2007-10-08,155.389999,155.490005,154.770004,155.020004,113.605659,71280400
2007-11-08,147.990005,148.399994,145.070007,147.160004,107.845535,374509900
2007-12-10,151.279999,152.25,150.860001,152.080002,111.451141,123914300
2008-01-08,142.080002,142.899994,138.440002,138.910004,102.339806,326365700
2008-02-08,133.089996,134.220001,132.100006,133.070007,98.03727,221643500
2008-03-10,129.839996,129.929993,127.589996,128.0,94.302032,235683600
2008-04-08,136.190002,136.919998,135.949997,136.820007,101.299042,148937300
2008-05-08,139.740005,140.320007,138.979996,139.160004,103.03157,178321200
2008-06-09,136.860001,137.5,135.410004,136.619995,101.151001,228263900
2008-07-08,124.989998,127.389999,124.199997,127.239998,94.677399,375973700
2008-08-08,126.580002,129.929993,126.379997,129.369995,96.262283,260811700
2008-09-08,128.039993,128.240005,124.419998,126.989998,94.491371,364075300
2008-10-08,97.519997,102.18,96.809998,97.510002,72.975723,725414800
2008-11-10,95.209999,95.529999,90.919998,92.629997,69.323563,301773000
2008-12-08,90.339996,92.379997,88.080002,91.0,68.103683,412859300
2009-01-08,90.160004,91.089996,89.669998,91.040001,68.686729,263834400
2009-02-09,86.959999,87.739998,86.32,87.099998,65.714104,240075200
2009-03-09,67.949997,70.0,67.730003,68.110001,51.386776,379905300
2009-04-08,82.059998,82.940002,81.540001,82.529999,62.711864,230402800
2009-05-08,92.029999,93.220001,91.440002,92.980003,70.652458,299081700
2009-06-08,93.839996,95.099998,93.040001,94.160004,71.549133,238565100
2009-07-08,88.589996,88.800003,87.0,88.0,67.24604,248050500
2009-08-10,100.739998,101.220001,100.269997,100.989998,77.172523,130898700
2009-09-08,103.0,103.050003,102.389999,102.940002,78.662636,132909100
2009-10-08,106.550003,107.169998,105.849998,106.610001,81.855133,183305800
2009-11-09,107.949997,109.629997,107.870003,109.57,84.127808,159495700
2009-12-08,110.040001,110.769997,109.269997,109.610001,84.158524,169863700
2010-01-08,113.889999,114.620003,113.660004,114.57,88.440392,126402800
2010-02-08,106.739998,107.330002,105.809998,105.889999,81.740028,224166900
2010-03-08,114.260002,114.519997,114.07,114.269997,88.208824,114631200
